slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,https://history.laumeiersculpturepark.org,504.0,0.015873015873015872,0.1765873015873016,0,6,3,889.5517578125,81.63741174946564,10,4,0,100.37104543359544,0
2,http://www.mondriaan.nl/en,40.0,0.075,0.3,0,2,4,1416.8515625,94.31101363608794,3,10,0,34.41863525631486,0
3,https://www.artculturefestival.in/,937.0,0.343649946638207,0.061899679829242264,1,49,35,1970.44140625,82.63188570137164,43,9,35,27.2940423211448,0
4,http://www.lalitkala.gov.in/,63.0,0.0,0.1746031746031746,0,14,20,1865.3095703125,65.7837354200904,14,15,0,43.79657499688284,0
5,http://www.abhivyakti-hindi.org/,758.0,0.022427440633245383,0.0158311345646438,0,106,71,1183.8642578125,26.27402813053452,18,10,2,35.33551192851496,0
6,http://bharatdiscovery.org,1326.0,0.05580693815987934,0.06259426847662142,1,68,201,1006.1484375,60.448938945701045,36,9,104,23.226364104800155,0
7,http://artlog.com/,130.0,0.6153846153846154,0.13846153846153847,0,21,26,9174.357421875,99.42199417491561,12,10,3,33.89730602992054,0
8,https://www.internationalartist.com/,446.0,0.13452914798206278,0.08295964125560538,0,17,24,2997.3564453125,94.44627801907475,43,8,12,29.01926593808343,0
9,https://art21.org/,367.0,0.20435967302452315,0.043596730245231606,0,44,58,161.3037109375,94.16618737702437,15,15,0,24.35611999194559,0
10,https://www.artrenewal.org,4156.0,0.03248315688161694,0.05004812319538017,2,84,126,3869.7548828125,95.66043149636265,314,8,6,35.43963690478156,0
11,https://2017.stateofeuropeantech.com/,110.0,0.05454545454545454,0.42727272727272725,0,0,16,727.126953125,47.985704654179955,6,5,0,61.20035665912506,0
12,https://disruptionmag.com/,155.0,0.10967741935483871,0.33548387096774196,0,5,14,2627.5546875,98.61994428041757,7,12,0,34.659683445013584,0
13,https://archive.india.gov.in/business/,154.0,0.0,0.12987012987012986,0,277,24,246.8115234375,77.95160939323797,121,10,0,82.31675041605016,0
14,http://www.eex.dcmsme.gov.in/,145.0,0.013793103448275862,0.0896551724137931,1,4,3,75.119140625,97.41296378149293,3,3,0,25.085986324146017,0
15,http://hindi.webdunia.com/business,1292.0,0.3111455108359133,0.06811145510835913,0,12,113,273.3486328125,71.3857003526146,66,9,33,59.93616657953674,0
16,http://dirtexmah.gov.in/,152.0,0.0,0.07894736842105263,0,89,17,527.765625,92.0084302928028,32,12,0,63.04482324556635,0
17,https://worldbusiness.org/,825.0,0.1903030303030303,0.11272727272727273,1,27,48,1645.693359375,94.8152433850189,20,9,3,37.68856776971887,0
18,https://www.worldbusinessculture.com/,582.0,0.17869415807560138,0.054982817869415807,3,18,69,1417.970703125,76.53295243394982,30,14,10,51.836129121198866,0
19,https://fitsmallbusiness.com/,33.0,0.21212121212121213,0.06060606060606061,0,4,1,7.10546875,0.0,1,1,6,5.568772033823002,0
20,http://minimums.com,143.0,0.4825174825174825,0.3916083916083916,1,6,39,4798.001953125,87.56768055713296,21,16,1,46.57645817882793,0
21,https://seeing-theory.brown.edu/,269.0,0.11152416356877323,0.03345724907063197,0,15,5,2761.8955078125,98.5706006793766,33,6,4,42.50863263568782,0
22,https://tour.stevens.edu/,0.0,0.0,0.0,0,0,4,1251.896484375,80.59725010959934,61,15,0,39.95712858445795,0
23,http://cbse.gov.in/,17.0,0.5294117647058824,0.11764705882352941,0,0,2,10.884765625,69.99820563430828,0,5,0,71.80065252527974,0
24,http://edudel.gov.in,146.0,0.13013698630136986,0.22602739726027396,1,103,40,168.4306640625,88.205690165997,27,8,10,61.03196642476506,0
25,https://hindividya.com/,1182.0,0.13028764805414553,0.077834179357022,1,34,15,847.96875,64.45619126589276,34,4,0,8.417618379574748,0
26,https://www.amarujala.com/education,674.0,0.6201780415430267,0.15281899109792285,1,48,141,497.5234375,71.45313505959204,57,10,3,26.10001077663768,0
27,https://academicearth.org/,194.0,0.23195876288659795,0.2268041237113402,0,2,33,680.1162109375,94.88727655975613,12,7,0,70.1011905978537,0
28,https://www.edmentuminternational.com/,234.0,0.17094017094017094,0.08974358974358974,0,81,17,1179.251953125,58.51812838183634,40,4,22,68.02284613227754,0
29,https://www.funbrain.com/,189.0,0.1164021164021164,0.4126984126984127,0,1,55,3357.8125,98.97068403908794,21,13,0,62.52991146385492,0
30,https://www.tcd.ie/,1267.0,0.062352012628255724,0.06945540647198106,0,24,194,8122.517578125,96.83133957514423,55,15,0,43.31243314008354,0
31,https://www.epicurious.com/,921.0,0.24321389793702497,0.1791530944625407,1,20,17,1132.72265625,85.48540056625181,17,4,0,32.841596818425344,0
32,https://www.177milkstreet.com/recipes/tea-rubbed-maple-turkey,385.0,0.16103896103896104,0.2519480519480519,0,16,5,1079.07421875,91.11181097801573,15,4,0,11.854431708166588,0
33,http://www.fci.gov.in/,272.0,0.003676470588235294,0.09926470588235294,5,0,49,1313.5556640625,85.39693892040702,27,14,0,49.417280269620946,0
34,http://mdmodisha.nic.in/,550.0,0.034545454545454546,0.2909090909090909,1,186,46,1627.2578125,96.26282472910235,50,19,17,103.21165670435576,0
35,https://khabarlahariya.org/,786.0,0.5648854961832062,0.11195928753180662,1,21,94,944.3701171875,63.342588427512965,20,13,69,49.4478992548528,0
36,https://www.swatirecipe.com/,422.0,0.523696682464455,0.02843601895734597,1,32,34,1010.5205078125,82.26548238115993,27,7,1,55.62099253774046,0
37,https://www.geniuskitchen.com/,394.0,0.4137055837563452,0.3350253807106599,1,17,75,1945.2919921875,98.13331365441101,33,13,44,39.329879568702935,0
38,https://www.consumersinternational.org/,329.0,0.13677811550151975,0.12462006079027356,0,7,20,1693.4404296875,95.70827924614912,13,14,0,88.67286565516633,0
39,http://www.internationalfood4u.com/,443.0,0.255079006772009,0.6343115124153499,0,2,148,1259.2255859375,78.3590174702799,39,6,146,35.32444391749,0
40,https://www.foodandwine.com,766.0,0.48825065274151436,0.1422976501305483,1,20,148,699.0048828125,78.52890758486186,17,11,0,42.279741889490424,0
41,https://dataafrica.io/,44.0,0.38636363636363635,0.36363636363636365,0,0,23,10281.4892578125,99.53224872711453,10,10,0,40.94076997227477,0
42,https://www.nasa.gov/,181.0,0.0,0.12154696132596685,0,0,44,4985.005859375,89.58915074620258,26,9,1,59.55174280584178,0
43,https://presidentofindia.gov.in/,502.0,0.6254980079681275,0.13545816733067728,0,5,44,1864.7392578125,92.97572706472346,27,14,0,56.10828572722936,0
44,http://legislativebodiesinindia.gov.in/,288.0,0.0,1.4722222222222223,4,33,58,1033.5146484375,95.30491279094488,5,8,25,46.234303979669626,0
45,https://rajyasabhahindi.nic.in,214.0,0.02336448598130841,0.028037383177570093,1,0,57,296.603515625,70.66264544550609,18,8,1,77.25972641742976,0
46,http://mls.org.in/,140.0,0.0,0.09285714285714286,0,148,62,207.37890625,94.89253894403737,15,13,0,59.547550286160536,0
47,https://www.usa.gov/,235.0,0.15319148936170213,0.07659574468085106,0,13,11,1068.220703125,75.43858526426648,14,7,0,73.40545036287898,0
48,https://www.gov.uk/,551.0,0.20508166969147004,0.07259528130671507,0,30,83,27.3427734375,63.19511411121826,6,5,0,68.44972073927796,0
49,http://english.gov.cn/,485.0,0.11958762886597939,0.1402061855670103,0,44,104,1876.6416015625,96.35777217966978,29,15,0,95.63374727321917,0
50,http://government.ru/en/,719.0,0.04033379694019471,0.18219749652294853,0,18,51,1249.4501953125,91.21809045697444,12,6,0,38.90711515132219,0
51,https://www.spectrumnews.org/,530.0,0.8981132075471698,0.3,0,41,103,1091.005859375,79.45488233872484,53,7,0,34.52926943877498,0
52,https://www.self.com/,642.0,0.03115264797507788,0.11838006230529595,1,15,4,1885.109375,40.50173232653941,19,10,0,24.33267929596486,0
53,https://cghs.gov.in/,1891.0,0.0,0.35378106821787414,2,4,23,4856.18359375,96.68872161218421,194,17,0,63.78362683180012,0
54,http://www.pci.nic.in/,1273.0,0.030636292223095052,0.14139827179890024,2,4,51,6800.8642578125,94.0399923320867,124,9,113,31.873775776910453,0
55,https://khabarlahariya.org/,786.0,0.5648854961832062,0.11195928753180662,1,21,94,944.3447265625,63.32826271523843,20,13,69,49.4478992548528,0
56,http://www.rajswasthya.nic.in/,181.0,0.2265193370165746,0.20441988950276244,0,221,25,833.822265625,92.96561158257929,125,13,6,75.5293111055396,0
57,https://www.who.int/,243.0,0.05761316872427984,0.11522633744855967,1,29,56,2395.3662109375,96.19891921862482,52,9,10,68.77874336594157,0
58,https://www.health.com/,1135.0,0.8158590308370044,0.15947136563876652,0,0,146,720.154296875,76.11690745527082,11,9,0,13.358126427893339,0
59,https://www.worldhealthinnovationsummit.com/,578.0,0.05709342560553633,0.12629757785467127,8,55,21,2835.248046875,57.89296571411645,175,18,0,50.71082814357928,0
60,https://kidshealth.org/,86.0,0.29069767441860467,0.023255813953488372,0,7,10,847.033203125,96.74622591259474,8,9,0,68.9158391663912,0
61,https://www.starwars.com/,972.0,0.45781893004115226,0.46502057613168724,0,48,70,214.5927734375,53.03377126916443,65,10,18,39.73705496359707,0
62,http://oscars.mpaa.org/,291.0,0.21993127147766323,0.15463917525773196,0,100,2,4815.724609375,98.91710140648453,38,4,16,39.269063085245904,0
63,http://www.allindiaradio.gov.in,240.0,0.0,0.29583333333333334,2,218,48,1225.2666015625,95.26474228743267,64,15,0,73.86044289318993,0
64,https://www.cfsindia.org/,346.0,0.14450867052023122,0.14450867052023122,0,7,32,1853.2099609375,83.38450966887585,26,15,23,101.42947235540933,0
65,http://www.sarita.in/bollywood,310.0,0.8387096774193549,0.035483870967741936,0,0,62,352.2119140625,92.54100065157418,32,15,0,80.70173478761266,0
66,https://www.bhaskar.com/bollywood,2964.0,0.07759784075573549,0.06072874493927125,1,31,194,580.6455078125,64.51013402715526,188,7,0,67.88249461976642,0
67,https://www.inoxmovies.com/,302.0,0.009933774834437087,0.4470198675496689,10,6,53,245.9853515625,78.4432825569993,53,17,0,64.09965849667452,0
68,https://www.cartoonbrew.com/,701.0,0.34236804564907275,0.17403708987161198,0,27,62,3556.1240234375,91.9701406382201,57,11,13,71.28415525004493,0
69,http://www.bafta.org/,598.0,0.4096989966555184,0.3110367892976589,0,61,51,1569.6220703125,77.2489521201175,88,12,63,30.372923781445962,0
70,https://www.oscars.org/,143.0,0.04195804195804196,0.5734265734265734,0,2,13,13730.8193359375,41.83031172959382,2,3,0,1.7545867467862668,0
71,https://www.factcheck.org/,720.0,0.2722222222222222,0.10277777777777777,2,23,49,291.8837890625,87.01959590349594,58,9,1,52.84710300695221,0
72,https://www.pbs.org/newshour/,1155.0,0.030303030303030304,0.09177489177489177,0,113,105,242.3388671875,74.56589631480325,80,7,0,54.79253367611839,0
73,http://www.pib.nic.in/,350.0,0.12857142857142856,0.15714285714285714,0,10,70,1705.7705078125,86.7042535419466,58,7,7,27.059135426664472,0
74,http://www.newsonair.nic.in/,768.0,0.08203125,0.19140625,3,25,100,509.185546875,42.059930265474506,52,11,25,87.6626965893339,0
75,https://aajtak.intoday.in/,4209.0,0.12140650985982418,0.18888096935138987,1,3,284,352.3134765625,74.71124181955767,40,7,1,74.16509295959094,0
76,https://www.dprmp.org/,672.0,0.0,0.13690476190476192,2,219,90,289.947265625,77.73335668528087,28,14,0,50.60524137095991,0
77,https://www.news18.com/,2772.0,0.10245310245310245,0.16125541125541126,1,132,237,496.177734375,70.52585585904748,157,13,2,37.667703477498044,0
78,https://www.independent.co.uk/,2174.0,0.1844526218951242,0.14397424103035877,0,79,333,1283.4326171875,59.12367270693598,52,10,0,43.37674453928682,0
79,https://in.reuters.com/,1453.0,0.4700619408121129,0.1169993117687543,0,48,116,228.5654296875,64.53208916005487,37,6,5,31.67990021114883,0
80,https://www.bbc.com,1576.0,0.3343908629441624,0.10532994923857868,0,42,251,166.087890625,72.9341345531945,63,13,1,30.394190982122588,0
81,https://solarsystem.nasa.gov/,471.0,0.23779193205944799,0.3078556263269639,0,18,84,4360.697265625,95.45872510891634,49,4,0,27.804384915294047,0
82,http://vis.sciencemag.org/space-graveyard/,376.0,0.031914893617021274,0.11170212765957446,0,39,9,2565.583984375,57.30930534059999,43,17,1,26.95387582678672,0
83,http://www.kscste.kerala.gov.in/,616.0,0.030844155844155844,0.18831168831168832,6,23,46,2000.52734375,65.22503831997423,39,13,9,44.56201918124712,0
84,http://www.nccs.res.in/,1417.0,0.0776287932251235,0.18560338743824983,0,101,54,3650.5634765625,93.16273680994773,34,5,16,48.1836649421157,0
85,https://www.vigyanspace.in/,703.0,0.17069701280227595,0.1678520625889047,1,7,85,1704.111328125,83.73717056062716,36,9,30,62.5604088973324,0
86,https://techsandesh.com/,1419.0,1.3713883016208597,0.1346018322762509,0,18,74,1046.87109375,60.578584248448685,101,13,121,57.481982065262855,0
87,http://www.cstep.in/,253.0,0.11462450592885376,0.47035573122529645,0,1,57,5423.025390625,97.07821359228896,25,11,0,41.665623149045345,0
88,https://www.thetech.org/,1193.0,0.030176026823134954,0.06957250628667226,0,12,35,6105.625,97.78898812570375,45,6,48,22.864385225976275,0
89,https://www.scienceeurope.org/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.357421875,0.0,1,2,0,4.665803421540859,0
90,https://www.worldsciencefestival.com/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3642578125,0.0,1,2,0,4.665803421540859,0
91,https://www.theplayerstribune.com/global,84.0,0.05952380952380952,0.2619047619047619,0,4,0,2.3671875,0.0,1,2,0,4.665803421540859,0
92,https://www.bleacherreport.com/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3583984375,0.0,1,2,0,4.665803421540859,0
93,https://yas.nic.in/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3466796875,0.0,1,2,0,4.665803421540859,0
94,http://sportsauthorityofindia.nic.in/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3642578125,0.0,1,2,0,4.665803421540859,0
95,https://naidunia.jagran.com/sports,84.0,0.05952380952380952,0.2619047619047619,0,4,0,2.361328125,0.0,1,2,0,4.665803421540859,0
96,https://sportshindi.com/,82.0,0.06097560975609756,0.2682926829268293,0,4,0,2.3515625,0.0,1,2,0,4.665803421540859,0
97,https://www.goal.com,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3486328125,0.0,1,2,0,4.665803421540859,0
98,http://www.espn.in/,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3466796875,0.0,1,2,0,4.665803421540859,0
99,https://www.skysports.com,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.353515625,0.0,1,2,0,4.665803421540859,0
100,https://www.uefa.com,83.0,0.060240963855421686,0.26506024096385544,0,4,0,2.3486328125,0.0,1,2,0,4.665803421540859,0
